Week,Total
2023.01,29673454
2023.02,27183090
2023.03,25084924
2023.04,23265078
2023.05,23144155
2023.06,22524665
2023.07,11141951
2023.08,10477848
2023.09,7941873
2023.1,7721567
2023.11,7789398
2023.12,48200037
2023.13,42131083
2023.14,37410067
2023.15,38540476
2023.16,43965130
2023.17,44326006
2023.18,44471807
2023.19,51457544
2023.2,52218905
2023.21,51462839
2023.22,74007873
2023.23,54614940
2023.24,40619450
2023.25,41296835
2023.26,41570064
2023.27,40592075
2023.28,40592075
2023.29,205063027
2023.3,81173345
2023.31,47001769
2023.32,44396371
2023.33,67570767
2023.34,63484464
2023.35,53698573
2023.36,42643971
2023.37,41129407
2023.38,34918353
2023.39,31577012
2023.4,31403983
2023.41,78847857
2023.42,82625589
2023.43,266018675
2023.44,121176303
